,experience_coding,python_user,r_user,sql_user,most_used,compensation,category
0,6.1,True,False,True,Scikit-learn,124267,5-10 Years
1,12.3,True,True,True,Scikit-learn,236889,10-15 Years
2,2.2,True,False,False,,74321,< 5 Years
3,2.7,False,False,True,,62593,< 5 Years
4,1.2,True,False,False,Scikit-learn,36288,< 5 Years
5,1.0,True,False,False,PyTorch,61302,< 5 Years
6,1.8,False,False,False,,68984,< 5 Years
7,6.1,True,False,False,TensorFlow,18858,5-10 Years
8,4.5,True,False,True,Scikit-learn,55418,< 5 Years
9,1.1,True,False,True,TensorFlow,614,< 5 Years
10,2.7,True,True,True,,70564,< 5 Years
11,0.93,True,True,False,Scikit-learn,55525,< 5 Years
12,0.32,True,False,False,,61005,< 5 Years
13,9.9,True,False,True,Scikit-learn,2846,5-10 Years
14,0.78,True,False,False,TensorFlow,21,< 5 Years
15,13.5,True,False,False,Scikit-learn,14699,10-15 Years
16,26.5,True,False,True,Scikit-learn,2110,25+ Years
17,1.5,True,False,True,Scikit-learn,620,< 5 Years
18,3.4,True,False,True,PyTorch,73527,< 5 Years
19,0.6,False,False,False,,6992,< 5 Years
20,0.95,True,False,False,,22311,< 5 Years
21,4.6,True,True,True,Scikit-learn,1377,< 5 Years
22,2.8,False,True,False,,69174,< 5 Years
23,28.2,True,False,True,Scikit-learn,117636,25+ Years
24,1.4,True,True,True,TensorFlow,65937,< 5 Years
25,4.8,True,False,False,Scikit-learn,27856,< 5 Years
26,0.37,True,True,False,Scikit-learn,903,< 5 Years
27,4.5,True,False,False,TensorFlow,50501,< 5 Years
28,4.4,True,False,False,Scikit-learn,482,< 5 Years
29,0.69,True,False,False,,70407,< 5 Years
30,1.5,True,False,False,,8690,< 5 Years
31,9.6,True,True,True,,114648,5-10 Years
32,0.31,False,True,False,,73454,< 5 Years
33,3.5,True,False,False,,8075,< 5 Years
34,1.0,True,False,False,,59151,< 5 Years
35,0.2,True,True,True,,70112,< 5 Years
36,0.39,True,False,True,,70183,< 5 Years
37,5.0,True,False,False,,64502,< 5 Years
38,4.0,True,False,True,,2521,< 5 Years
39,0.47,True,False,False,Scikit-learn,63616,< 5 Years
40,8.1,True,False,True,Scikit-learn,59849,5-10 Years
41,1.8,True,False,False,,31516,< 5 Years
42,17.1,True,False,True,TensorFlow,18582,15-20 Years
43,1.4,True,False,False,Keras,4187,< 5 Years
44,1.3,True,False,False,,64405,< 5 Years
45,3.1,True,False,False,Keras,114807,< 5 Years
46,0.26,True,False,True,Scikit-learn,632,< 5 Years
47,2.1,True,True,False,Scikit-learn,61157,< 5 Years
48,4.4,True,False,True,Keras,1194,< 5 Years
49,5.2,True,True,False,Scikit-learn,28955,5-10 Years
50,0.7,True,True,True,TensorFlow,56553,< 5 Years
51,0.69,False,False,False,,75177,< 5 Years
52,1.3,False,True,True,,28009,< 5 Years
53,1.5,True,False,True,Scikit-learn,67074,< 5 Years
54,2.2,False,False,True,,50059,< 5 Years
55,6.3,False,False,False,TensorFlow,7624,5-10 Years
56,2.9,True,False,False,,74321,< 5 Years
57,1.2,True,True,False,,671,< 5 Years
58,1.5,True,False,True,TensorFlow,837,< 5 Years
59,1.8,True,False,True,Scikit-learn,2011,< 5 Years
60,0.91,False,False,False,Scikit-learn,62937,< 5 Years
61,4.5,True,False,False,,685,< 5 Years
62,1.6,True,False,True,Scikit-learn,41615,< 5 Years
63,0.27,True,False,False,,52572,< 5 Years
64,2.6,True,False,False,Scikit-learn,51856,< 5 Years
65,1.7,True,False,False,Keras,411,< 5 Years
66,0.74,True,False,False,,152,< 5 Years
67,2.7,True,False,False,TensorFlow,8181,< 5 Years
68,0.99,True,True,False,Keras,2708,< 5 Years
69,24.8,True,False,False,Scikit-learn,55041,20-25 Years
70,0.32,True,True,True,Scikit-learn,68412,< 5 Years
71,3.5,False,False,True,TensorFlow,6141,< 5 Years
72,5.7,False,False,True,,3979,5-10 Years
73,22.0,True,False,False,Keras,3760,20-25 Years
74,9.9,True,False,False,Keras,57465,5-10 Years
75,3.9,True,False,False,Keras,3864,< 5 Years
76,20.5,True,False,False,,488487,20-25 Years
77,0.81,True,False,False,Scikit-learn,24393,< 5 Years
78,9.8,True,False,False,TensorFlow,68624,5-10 Years
79,1.5,True,False,True,,70796,< 5 Years
80,12.3,True,True,True,Scikit-learn,236889,10-15 Years
81,6.6,True,False,True,PyTorch,57861,5-10 Years
82,2.1,True,False,False,,21055,< 5 Years
83,2.5,True,False,False,Keras,59167,< 5 Years
84,0.0,False,False,False,,55882,< 5 Years
85,1.7,False,False,False,,73802,< 5 Years
86,5.3,True,False,True,Scikit-learn,21206,5-10 Years
87,1.4,True,False,True,Scikit-learn,79803,< 5 Years
88,1.5,True,False,True,,73043,< 5 Years
89,28.2,True,False,True,PyTorch,268191,25+ Years
90,0.97,True,False,True,Scikit-learn,14298,< 5 Years
91,1.1,True,False,True,Scikit-learn,68805,< 5 Years
92,7.0,True,False,False,TensorFlow,56003,5-10 Years
93,1.0,True,False,True,,73664,< 5 Years
94,0.71,True,False,True,Scikit-learn,434,< 5 Years
95,9.3,True,True,False,Keras,52109,5-10 Years
96,1.7,True,False,False,PyTorch,10284,< 5 Years
97,20.5,True,False,False,Keras,43906,20-25 Years
98,0.75,True,False,False,,67971,< 5 Years
99,0.98,True,False,True,,58465,< 5 Years
100,0.8,False,True,False,,64488,< 5 Years
101,1.3,True,False,False,,7709,< 5 Years
102,0.36,True,False,False,Keras,1957,< 5 Years
103,1.2,True,False,True,Scikit-learn,4131,< 5 Years
104,8.6,True,False,False,Scikit-learn,26022,5-10 Years
105,18.4,True,False,True,,29926,15-20 Years
106,2.7,False,False,True,,62593,< 5 Years
107,24.3,True,True,True,,109543,20-25 Years
108,0.94,True,False,True,,107644,< 5 Years
109,1.4,False,True,True,,1047,< 5 Years
110,3.3,True,False,False,,59909,< 5 Years
111,0.93,True,False,False,,68344,< 5 Years
112,2.3,True,False,False,TensorFlow,54427,< 5 Years
113,0.59,False,False,False,,70930,< 5 Years
114,1.2,True,False,False,,50835,< 5 Years
115,8.5,True,True,True,Keras,14151,5-10 Years
116,3.3,False,True,False,,11681,< 5 Years
117,21.1,True,False,True,,71808,20-25 Years
118,1.2,False,False,False,,70991,< 5 Years
119,12.2,True,True,True,Scikit-learn,31626,10-15 Years
120,3.8,False,False,False,TensorFlow,52416,< 5 Years
121,4.3,True,False,False,Keras,288146,< 5 Years
122,13.1,True,False,True,TensorFlow,65143,10-15 Years
123,24.3,True,False,False,PyTorch,34866,20-25 Years
124,1.6,True,True,False,Keras,186,< 5 Years
125,2.9,True,False,False,Scikit-learn,60065,< 5 Years
126,9.4,True,False,False,,40336,5-10 Years
127,7.7,True,False,False,Scikit-learn,115654,5-10 Years
128,0.3,True,False,True,,431,< 5 Years
129,9.0,True,True,False,TensorFlow,59814,5-10 Years
130,4.2,True,False,True,TensorFlow,45413,< 5 Years
131,1.9,False,False,False,,4196,< 5 Years
132,8.3,True,False,False,,55751,5-10 Years
133,0.21,True,False,False,Scikit-learn,61912,< 5 Years
134,18.8,True,False,False,,49478,15-20 Years
135,9.3,False,False,True,Scikit-learn,29139,5-10 Years
136,1.8,True,False,False,Keras,67272,< 5 Years
137,2.8,True,False,False,TensorFlow,70264,< 5 Years
138,2.4,True,False,True,Scikit-learn,264,< 5 Years
139,15.3,True,True,True,Keras,14853,15-20 Years
140,3.9,True,False,False,Scikit-learn,55482,< 5 Years
141,0.3,True,False,False,Scikit-learn,26,< 5 Years
142,0.8,False,False,True,,250,< 5 Years
143,0.79,True,True,False,Scikit-learn,66025,< 5 Years
144,11.1,True,False,True,,55906,10-15 Years
145,0.24,True,False,False,,63754,< 5 Years
146,19.7,True,False,True,TensorFlow,86855,15-20 Years
147,8.5,True,False,False,Keras,63242,5-10 Years
148,0.26,True,False,True,,70448,< 5 Years
149,0.75,True,False,False,Scikit-learn,68964,< 5 Years
150,24.4,True,False,True,Scikit-learn,111583,20-25 Years
151,6.8,True,False,False,Keras,52350,5-10 Years
152,4.4,True,False,True,,58574,< 5 Years
153,3.2,True,True,True,Scikit-learn,330,< 5 Years
154,0.84,True,False,True,,64478,< 5 Years
155,16.0,True,True,False,Scikit-learn,94273,15-20 Years
156,4.9,True,False,True,TensorFlow,62142,< 5 Years
157,8.3,True,False,True,Keras,5857,5-10 Years
158,6.6,True,False,False,Scikit-learn,194518,5-10 Years
159,4.0,True,False,False,,60873,< 5 Years
160,23.9,True,False,True,,55584,20-25 Years
161,27.0,False,False,False,PyTorch,949,25+ Years
162,0.91,True,False,False,,27748,< 5 Years
163,2.2,True,False,True,,239,< 5 Years
164,13.9,False,False,True,,120047,10-15 Years
165,3.4,True,False,False,,332,< 5 Years
166,1.4,True,True,True,Scikit-learn,51428,< 5 Years
167,6.6,True,False,True,Scikit-learn,256063,5-10 Years
168,2.6,True,False,True,Scikit-learn,50783,< 5 Years
169,8.5,True,True,True,Keras,109423,5-10 Years
170,28.2,True,False,True,Scikit-learn,85525,25+ Years
171,2.7,True,False,False,Scikit-learn,226,< 5 Years
172,8.6,True,False,False,Scikit-learn,13056,5-10 Years
173,2.9,True,False,False,Scikit-learn,8015,< 5 Years
174,2.6,True,False,True,Scikit-learn,450,< 5 Years
175,7.5,False,False,True,,55219,5-10 Years
176,1.3,True,False,False,Scikit-learn,348,< 5 Years
177,16.2,True,False,False,,53685,15-20 Years
178,2.7,True,False,False,TensorFlow,59456,< 5 Years
179,1.8,True,False,False,Scikit-learn,62821,< 5 Years
180,7.1,True,False,False,PyTorch,13478,5-10 Years
181,1.9,True,False,False,,59666,< 5 Years
182,0.41,True,True,True,Scikit-learn,57673,< 5 Years
183,2.3,True,True,False,Scikit-learn,29472,< 5 Years
184,11.8,True,True,True,PyTorch,276659,10-15 Years
185,4.0,True,False,True,Scikit-learn,5119,< 5 Years
186,5.4,True,False,True,Scikit-learn,27631,5-10 Years
187,3.8,False,False,False,,282,< 5 Years
188,5.7,True,False,False,Scikit-learn,34238,5-10 Years
189,0.0,False,False,False,,106203,< 5 Years
190,0.0,False,False,False,,74289,< 5 Years
191,21.4,True,False,True,Scikit-learn,226171,20-25 Years
192,2.5,True,False,False,TensorFlow,74445,< 5 Years
193,7.6,True,True,False,TensorFlow,67863,5-10 Years
194,22.8,False,False,True,,65871,20-25 Years
195,1.7,True,False,True,,67736,< 5 Years
196,2.6,True,False,True,Scikit-learn,785,< 5 Years
197,2.1,True,False,False,Scikit-learn,28073,< 5 Years
